=== GAME DEBUG LOG ===
Configuration: Blue(+0 HP, +0 Ammo, +0 Grenades)
Configuration: Orange(+0 HP, +0 Ammo, +0 Grenades)

T43: B[C(2,2);M(18,6);P(2,6);W0(18,1)hp=100;W1(21,6)hp=100] O[C(45,6);M(29,6);P(45,3);W0(27,6)hp=100;W1(28,2)hp=100]
T44: B[C(2,2);M(18,6);P(2,6);W0(18,2)hp=100;W1(21,6)hp=80] O[C(45,6);M(29,6);P(45,3);W0(27,6)hp=80;W1(28,1)hp=100]
T45: B[C(2,2);M(18,6);P(2,6);W0(18,1)hp=100;W1(21,6)hp=60] O[C(45,6);M(29,6);P(45,3);W0(27,6)hp=60;W1(28,2)hp=100]
T46: B[C(2,2);M(18,6);P(2,6);W0(18,2)hp=100;W1(21,6)hp=40] O[C(45,6);M(29,6);P(45,3);W0(27,6)hp=40;W1(28,1)hp=100]
T47: B[C(2,2);M(17,6);P(2,6);W0(18,1)hp=100;W1(21,6)hp=20] O[C(45,6);M(30,6);P(45,3);W0(27,6)hp=20;W1(28,2)hp=100]
T48: B[C(2,2);M(16,6);P(2,6);W0(18,2)hp=100;W1(20,6)hp=20] O[C(45,6);M(31,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
T49: B[C(2,2);M(15,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(32,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T50: B[C(2,2);M(14,6);P(2,6);W0(18,2)hp=100;W1(19,6)hp=20] O[C(45,6);M(33,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
T51: B[C(2,2);M(13,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(34,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T52: B[C(2,2);M(12,6);P(2,6);W0(18,2)hp=100;W1(19,6)hp=20] O[C(45,6);M(35,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
T53: B[C(2,2);M(11,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(36,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T54: B[C(2,2);M(10,6);P(2,6);W0(18,2)hp=100;W1(19,6)hp=20] O[C(45,6);M(37,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
T55: B[C(2,2);M(9,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(38,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T56: B[C(2,2);M(8,6);P(2,6);W0(18,2)hp=100;W1(19,6)hp=20] O[C(45,6);M(39,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
T57: B[C(2,2);M(7,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(40,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T58: B[C(2,2);M(6,6);P(2,6);W0(18,2)hp=100;W1(19,6)hp=20] O[C(45,6);M(41,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
T59: B[C(2,2);M(6,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(42,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T60: B[C(2,2);M(7,6);P(2,6);W0(18,2)hp=100;W1(19,6)hp=20] O[C(45,6);M(43,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
T61: B[C(2,2);M(8,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(44,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T62: B[C(2,2);M(9,6);P(2,6);W0(18,2)hp=100;W1(19,6)hp=20] O[C(45,6);M(45,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
T63: B[C(2,2);M(10,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(46,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T64: B[C(2,2);M(11,6);P(2,6);W0(18,2)hp=100;W1(19,6)hp=20] O[C(45,6);M(46,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
T65: B[C(2,2);M(12,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(45,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T66: B[C(2,2);M(13,6);P(2,6);W0(18,2)hp=100;W1(19,6)hp=20] O[C(45,6);M(44,6);P(45,3);W0(28,6)hp=20;W1(28,1)hp=100]
T67: B[C(2,2);M(14,6);P(2,6);W0(18,1)hp=100;W1(19,6)hp=20] O[C(45,6);M(43,6);P(45,3);W0(28,6)hp=20;W1(28,2)hp=100]
T68: B[C(2,2);M(15,6);P(2,6);W0(18,2)hp=100;W1(19,6)hp=5] O[C(45,6);M(42,6);P(45,3);W0(28,6)hp=5;W1(28,1)hp=100]
T69: B[C(2,2);M(16,6);P(2,6);W0(18,1)hp=85;W1(19,6)hp=0*] O[C(45,6);M(41,6);P(45,3);W0(28,6)hp=0*;W1(28,2)hp=100]
T70: B[C(2,2);M(17,6);P(2,6);W0(18,2)hp=85;W1(19,6)hp=0*] O[C(45,6);M(40,6);P(45,3);W0(28,6)hp=0*;W1(28,1)hp=85]
T71: B[C(2,2);M(18,6);P(2,6);W0(18,1)hp=70;W1(19,6)hp=0*] O[C(45,6);M(39,6);P(45,3);W0(28,6)hp=0*;W1(28,2)hp=85]
T72: B[C(2,2);M(18,6);P(2,6);W0(18,2)hp=70;W1(20,6)hp=100] O[C(45,6);M(38,6);P(45,3);W0(28,6)hp=0*;W1(28,1)hp=70]
